States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 4 8 3.6875 164 37 68 aaaaaaaaaaaaaaaaaaaaaaaaaaacaTaaTaaac Q_PDS
32 4 4 3.64062 93 32 54 aaaaaaaaaaaaaaaaaaaaaaacbbTcbaTc Q_PDS
32 4 6 3.66016 127 40 65 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTTaaaaTaaTcb Q_PDS
32 4 3 3.63281 74 31 58 aaaaaaaaaaaaaaaaaaaaaaaaaaaabTc Q_PDS
32 4 455 4.16016 1294 43 1266 aaaaaaaaaaaaaaaaaTaaaTacacaaTacaaTacaTTabcc Q_PDS
32 4 4 3.64062 82 39 60 aaaaaaaaaaaaaaaaaaaaaaaaTaaaabTcaTcaaTb Q_PDS
32 4 4 3.66406 98 38 71 aababaaaaaaaaaaaaaaaaaaaaaaaTcccTabbac Q_PDS
32 4 4 3.64844 99 36 68 aaaaaaaaaaaaaaaaaaaaaaaaaaaaacaTccac Q_PDS
32 4 12 3.65234 95 32 135 aaaaabaaaaaaaaaaaaaaaaaaaaaTbbbc Q_PDS
32 4 3 3.63281 55 32 63 aaaaaaacaaaaaaaaaaaaaaaaaaaabccc Q_PDS
32 4 3 3.63281 64 38 56 bcaaaaaaaaaaaaaaaaaaaaaaaaaaaccaaTaaaa Q_PDS
32 4 3 3.63281 57 36 56 aaaaaaaaaaaaaaaaaaaaaaaaaaabTaTbTabb Q_PDS
32 4 2 3.62891 45 34 39 aaacaaaaaaaaaaaaaaaaaaaaaaacaaaTaa Q_PDS
32 4 19 3.67969 189 35 166 aaaaaaaaaaaaaaaaaaaaaaaacaTbcTcbaTb Q_PDS
32 4 3 3.63672 67 40 53 aaaaaaaaaacaaaaaaaaaaaaaaabTbTacaccaTaTc Q_PDS
32 4 3 3.64844 70 33 45 abaacaaaaaaaaaaaaaaaaaaaaaaaabbba Q_PDS
32 4 1 3.61719 42 36 40 aaaaaaaaaaaaaaaaaaaaaaaaacbcTbcaaTab Q_PDS
32 4 10 3.63281 92 38 118 aaaaaaaaaaaaaaaaaaaaaaaaabaaacTaabbbab Q_PDS
32 4 3 3.63281 61 31 61 aaaaaaaaaaaaaaaaaaaaaaaaaaaabab Q_PDS
32 4 2 3.61328 37 32 54 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaaac Q_PDS
32 4 10 3.63281 84 37 103 aaaaaaaaaaaaaaaaaaaaaaaaacacacTacTaac Q_PDS
32 4 2 3.625 46 33 52 aaaaaaaaaaaaaaaaaTaaaaaaaaacccTcb Q_PDS
32 4 1 3.62109 51 31 28 aaaaaaaaaaaaaaaaaaaaaaaaaTaTacc Q_PDS
32 4 5 3.62891 75 37 32 aaaTaaaaaaaaaaaaaaaaaaaaaacbTbcbcTaac Q_PDS
32 4 37 3.72266 251 38 319 aaaaaaaaaaaaaaaaaaaaaaaaaTabaaacTbbcac Q_PDS
