Episodes Task Normalised_Cummulative_Reward
31 Q(RS) 0.91277
32 Q(RS) 0.90689
33 Q(RS) 0.91906
34 Q(RS) 0.97344
35 Q(RS) 0.99331
36 Q(RS) 0.99766
37 Q(RS) 0.79722
38 Q(RS) 0.95466
39 Q(RS) 0.86387
40 Q(RS) 0.87561
41 Q(RS) 0.98612
42 Q(RS) 0.97599
43 Q(RS) 0.97148
44 Q(RS) 0.98806
45 Q(RS) 0.99328
46 Q(RS) 0.99837
47 Q(RS) 0.95210
48 Q(RS) 0.93148
49 Q(RS) 0.96700
50 Q(RS) 0.98921
51 Q(RS) 0.86653
52 Q(RS) 0.96039
53 Q(RS) 0.99807
54 Q(RS) 0.95261
55 Q(RS) 0.99788
56 Q(RS) 0.89135
57 Q(RS) 0.97000
58 Q(RS) 0.98404
59 Q(RS) 0.97964
60 Q(RS) 0.99938
61 Q(RS) 0.98004
62 Q(RS) 0.87817
63 Q(RS) 0.98525
64 Q(RS) 0.92683
65 Q(RS) 0.94062
66 Q(RS) 0.99066
67 Q(RS) 0.98213
68 Q(RS) 0.94748
69 Q(RS) 0.98952
70 Q(RS) 0.90306
71 Q(RS) 0.99821
72 Q(RS) 0.91631
73 Q(RS) 0.96594
74 Q(RS) 0.92235
75 Q(RS) 0.99690
76 Q(RS) 0.98865
77 Q(RS) 1.00058
78 Q(RS) 0.92086
79 Q(RS) 0.96051
80 Q(RS) 0.98506
81 Q(RS) 0.99883
82 Q(RS) 0.98801
83 Q(RS) 0.99359
84 Q(RS) 0.99039
85 Q(RS) 0.97218
86 Q(RS) 0.97753
87 Q(RS) 0.99921
88 Q(RS) 0.95225
89 Q(RS) 1.00015
90 Q(RS) 0.98777
91 Q(RS) 0.96171
92 Q(RS) 0.98512
93 Q(RS) 0.98990
94 Q(RS) 0.96007
95 Q(RS) 0.95616
96 Q(RS) 0.98515
97 Q(RS) 1.00730
98 Q(RS) 0.99340
99 Q(RS) 0.99876
100 Q(RS) 1.00046
1 Q(RS) 0.00000
2 Q(RS) 0.69686
3 Q(RS) 0.51944
4 Q(RS) 0.82724
5 Q(RS) 0.64727
6 Q(RS) 0.86271
7 Q(RS) 0.97659
8 Q(RS) 0.97273
9 Q(RS) 0.86946
10 Q(RS) 0.90489
11 Q(RS) 0.85201
12 Q(RS) 0.77837
13 Q(RS) 0.97362
14 Q(RS) 0.85363
15 Q(RS) 0.98197
16 Q(RS) 0.84722
17 Q(RS) 0.80391
18 Q(RS) 0.93869
19 Q(RS) 0.92020
20 Q(RS) 0.99198
21 Q(RS) 0.95845
22 Q(RS) 0.78184
23 Q(RS) 0.89359
24 Q(RS) 0.96948
25 Q(RS) 0.95018
26 Q(RS) 0.98322
27 Q(RS) 0.96625
28 Q(RS) 0.85830
29 Q(RS) 0.94077
30 Q(RS) 0.79231
31 Q(RS) 0.75594
32 Q(RS) 0.93091
33 Q(RS) 0.86110
34 Q(RS) 0.96827
35 Q(RS) 0.78436
36 Q(RS) 1.00382
37 Q(RS) 0.94462
38 Q(RS) 0.98269
39 Q(RS) 0.81807
40 Q(RS) 0.96947
41 Q(RS) 0.91683
42 Q(RS) 0.87445
43 Q(RS) 0.85699
44 Q(RS) 0.92829
45 Q(RS) 0.94900
46 Q(RS) 0.88867
47 Q(RS) 0.99133
48 Q(RS) 0.92138
49 Q(RS) 0.96997
50 Q(RS) 0.94693
51 Q(RS) 0.89207
52 Q(RS) 0.98300
53 Q(RS) 0.91381
54 Q(RS) 0.90752
55 Q(RS) 0.95652
56 Q(RS) 0.95316
57 Q(RS) 0.82742
58 Q(RS) 0.96404
59 Q(RS) 0.98432
60 Q(RS) 0.93366
61 Q(RS) 0.95646
62 Q(RS) 0.89698
63 Q(RS) 0.99211
64 Q(RS) 0.94046
65 Q(RS) 0.87800
66 Q(RS) 0.98610
67 Q(RS) 1.00199
68 Q(RS) 0.91751
69 Q(RS) 0.96174
70 Q(RS) 1.00016
71 Q(RS) 1.00080
72 Q(RS) 0.93361
73 Q(RS) 0.95240
74 Q(RS) 0.98551
75 Q(RS) 0.96357
76 Q(RS) 0.93542
77 Q(RS) 0.89944
78 Q(RS) 0.99129
79 Q(RS) 0.98339
80 Q(RS) 0.99051
81 Q(RS) 0.98659
82 Q(RS) 0.97383
83 Q(RS) 0.97069
84 Q(RS) 0.99119
85 Q(RS) 0.93913
86 Q(RS) 0.98646
87 Q(RS) 0.97981
88 Q(RS) 1.00004
89 Q(RS) 0.99679
90 Q(RS) 0.94468
91 Q(RS) 0.92166
92 Q(RS) 0.97299
93 Q(RS) 0.94632
94 Q(RS) 0.99810
95 Q(RS) 0.98517
96 Q(RS) 0.98546
97 Q(RS) 0.98510
98 Q(RS) 0.95628
99 Q(RS) 0.92220
100 Q(RS) 0.98044
1 Q(RS) 0.00000
2 Q(RS) 0.67240
3 Q(RS) 0.93792
4 Q(RS) 0.44648
5 Q(RS) 0.94758
6 Q(RS) 0.69832
7 Q(RS) 0.90833
8 Q(RS) 0.96804
