States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 4 3 3 aaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
64 2 0 0.667969 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.667969 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.667969 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.667969 10 9 9 aaaaaaaaa Q_PDS
64 2 0 0.667969 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.667969 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.667969 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.667969 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.667969 12 11 11 aaaaabaaaaa Q_PDS
64 2 0 0.671875 14 13 13 aaaaaaaaaaaaa Q_PDS
64 2 0 0.671875 13 12 12 aaaaaabaaaaa Q_PDS
64 2 0 0.671875 11 10 11 aaaaaaaaaa Q_PDS
64 2 0 0.671875 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.671875 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.671875 10 9 9 aaaaaaaaa Q_PDS
64 2 0 0.671875 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.671875 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.671875 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.675781 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.679688 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.679688 10 9 9 aaaaaaaaa Q_PDS
64 2 0 0.679688 13 12 13 aaaaaaaaaaaa Q_PDS
64 2 0 0.691406 10 9 9 aaaaaaaaa Q_PDS
64 2 0 0.691406 17 16 16 aaaaaaaaaaaaaaaa Q_PDS
64 2 0 0.691406 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaabaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.691406 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.691406 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.691406 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.691406 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.691406 10 9 9 aaaaaaaaa Q_PDS
64 2 0 0.691406 10 9 9 aaaaaaaaa Q_PDS
64 2 0 0.691406 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.691406 13 12 12 aaaaaaaaaaaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.691406 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.691406 12 11 11 aaaaaaaaaaa Q_PDS
64 2 0 0.691406 13 12 13 aaaaaaaaaaaa Q_PDS
64 2 0 0.691406 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.691406 10 9 9 aaaaaaaaa Q_PDS
64 2 0 0.691406 9 8 8 aaaaaaaa Q_PDS
64 2 0 0.691406 11 10 10 aaaaaaaaaa Q_PDS
64 2 0 0.691406 13 12 12 aaaaaaaaaaaa Q_PDS
